,Area,Location_A,Quantity (sq.km),Sentinel pixels,Lat,Lon,tile,EventDate,Product_title,Image_date,CloudCover,id,DaysDiff
131,Berri,Estimated,0.01,0.1,,,39RUL,7/6/2017,S2B_MSIL1C_20170707T072309_N0205_R006_T39RUL_20170707T072929,7/7/2017,0.0269,b5e6bd60-7b07-4e60-bea0-a1811202bf7f,1
266,Juaymah,Estimated,18.368,183.68,,,39RVK,6/23/2017,S2A_MSIL1C_20170629T071301_N0205_R106_T39RVK_20170629T071817,6/29/2017,0.4404,a179d6c3-ff0b-4088-88e2-6e817035f6df,6
81,Arabiyah Field,Exact,0.056,0.56,,,39RVL,6/15/2017,S2A_MSIL1C_20170619T070621_N0205_R106_T39RVL_20170619T071210,6/19/2017,0,1dec4763-bc57-4bc5-ac00-55d1a97e7004,4
292,Safaniyah,Estimated,0.013,0.13,,,39RTM,5/17/2017,S2A_MSIL1C_20170523T072311_N0205_R006_T39RTM_20170523T073019,5/23/2017,0.053,b8c7d228-d999-4db7-beec-7348f95a7c25,6
40,Zuluf,Estimated,0.021,0.21,,,39RUM,11/30/2016,S2A_MSIL1C_20161204T072252_N0204_R006_T39RUM_20161204T072938,12/4/2016,0,3b45e3e9-22a9-4d16-a685-58f8f535b485,4
197,Abu Safah,Estimated,5.009,50.09,,,39RVK,7/18/2016,S2A_MSIL1C_20160724T070622_N0204_R106_T39RVK_20160724T071848,7/24/2016,0.5481,21742d14-92ce-444f-8cd9-a30ba42329c8,6
58,Yanbu,Estimated,0.001,0.01,,,37QCG,7/13/2016,S2A_MSIL1C_20160719T080012_N0204_R035_T37QCG_20160719T081019,7/19/2016,0.0559,50ef2e1d-5b5b-40ec-a5f1-b4df896336bd,6
63,Safaniyah,Exact,46.125,461.25,,,39RTM,7/9/2016,S2A_MSIL1C_20160710T072622_N0204_R049_T39RTM_20160710T073049,7/10/2016,0.0088,e6169cda-7b41-43cd-868f-60c9a089a732,1
97,Sea Island,Estimated,3.9,39,,,39RVK,6/6/2016,S2A_MSIL1C_20160607T072312_N0202_R006_T39RVK_20160607T073100,6/7/2016,6.555,beae597a-e535-4e51-8068-da30f835666b,1
206,Abu Safah,Estimated,1.507,15.07,,,39RVK,5/29/2016,S2A_MSIL1C_20160604T071312_N0202_R106_T39RVK_20160604T071523,6/4/2016,0.3677,de95e9cc-16aa-4658-88bd-3c0883df2c43,6
311,Jazan Bulk Plant,Estimated,5,50,,,37PHT,5/19/2016,S2A_MSIL1C_20160521T074242_N0202_R049_T37PHT_20160521T074242,5/21/2016,4.7221,c7bf2a4b-4537-4fa3-9569-c6e63bc98802,2
184,Juaymah,Estimated,31.581,315.81,,,39RVK,4/4/2016,S2A_MSIL1C_20160408T071602_N0201_R006_T39RVK_20160408T073148,4/8/2016,5.4925,9198d549-b3db-4d3c-bcb4-f085a7397942,4
303,Sea Island,Estimated,8.114,81.14,,,39RVK,2/16/2016,S2A_MSIL1C_20160218T071942_N0204_R006_T39RVK_20160218T072636,2/18/2016,0.1026,c020311a-1a2e-4d4c-b076-3cd1bd96856f,2
302,Juaymah,Estimated,2.805,28.05,,,39RVK,1/3/2016,S2A_MSIL1C_20160106T071302_N0201_R106_T39RVK_20160106T071604,1/6/2016,0,7c1c7b5f-746a-409a-b70c-f38d350cab26,3
273,Berri,Estimated,1.574,15.74,,,39RUL,11/24/2015,S2A_MSIL1C_20151130T072242_N0204_R006_T39RUL_20151130T072315,11/30/2015,2.6149,70cdd7f5-519f-4f59-a5fa-c1374b6ac5e0,6
204,Sea Island,Estimated,0.015,0.15,,,39RVK,9/27/2015,S2A_MSIL1C_20151001T071826_N0204_R006_T39RVK_20151001T073023,10/1/2015,0.4027,5708898e-4895-485b-8eb3-7e9024d3a1d0,4
124,Juaymah,Estimated,8.658,86.58,,,39RVK,8/11/2015,S2A_MSIL1C_20150812T072306_N0204_R006_T39RVK_20150812T072303,8/12/2015,0.308,bd4223ca-298b-4dc3-a59d-bcd06b4317a6,1
122,Safaniyah,Exact,4.395,43.95,28.325833,48.9585,39RTM,1/30/2017,0,0,0,0,0
5,Abu Safah,Estimated,0.002,0.02,,,39RVK,7/12/2009,0,0,0,0,0
19,Abu Safah,Estimated,0.001,0.01,,,39RVK,6/17/2010,0,0,0,0,0
42,Abu Safah,Estimated,12.9,129,,,39RVK,3/18/2014,0,0,0,0,0
226,Abu Safah,Estimated,0.05,0.5,,,39RVK,6/25/2015,0,0,0,0,0
241,Arabiyah Field,Estimated,7,70,,,39RVL,2/18/2012,0,0,0,0,0
278,Arabiyah Field,Estimated,0.017,0.17,,,39RVL,12/27/2013,0,0,0,0,0
225,Arabiyah Field,Estimated,0.004,0.04,,,39RVL,3/15/2015,0,0,0,0,0
312,Berri,Estimated,0.15,1.5,,,39RUL,3/30/2009,0,0,0,0,0
9,Berri,Estimated,0.15,1.5,,,39RUL,3/30/2009,0,0,0,0,0
57,Berri,Estimated,0.03,0.3,,,39RUL,4/3/2009,0,0,0,0,0
