,Area,Location_A,Quantity (sq.km),Sentinel pixels,Lat,Lon,tile,EventDate,Product_title,Image_date,CloudCover,id,DaysDiff
322,Safaniyah,Estimated,0.002,0.02,,,39RTM,9/1/2014,0,0,0,0,0
3,Safaniyah,Estimated,13.362,133.62,,,39RTM,9/2/2014,0,0,0,0,0
66,Safaniyah,Estimated,3.22,32.2,,,39RTM,12/12/2014,0,0,0,0,0
183,Safaniyah,Estimated,37.9,379,,,39RTM,1/15/2015,0,0,0,0,0
53,Safaniyah,Estimated,11,110,,,39RTM,1/16/2015,0,0,0,0,0
64,Safaniyah,Estimated,0.001,0.01,,,39RTM,2/9/2015,0,0,0,0,0
69,Safaniyah,Estimated,1.443,14.43,,,39RTM,3/25/2015,0,0,0,0,0
147,Safaniyah,Estimated,0.887,8.87,,,39RTM,4/17/2015,0,0,0,0,0
215,Safaniyah,Exact,19.321,193.21,,,39RTM,8/1/2015,0,0,0,0,0
228,Safaniyah,Estimated,0.012,0.12,,,39RTM,11/9/2015,0,0,0,0,0
2,Safaniyah,Estimated,17.818,178.18,,,39RTM,11/16/2015,0,0,0,0,0
62,Safaniyah,Estimated,7.87,78.7,,,39RTM,12/20/2015,0,0,0,0,0
109,Sea Island,Estimated,0.01,0.1,,,39RVK,2/9/2009,0,0,0,0,0
144,Sea Island,Estimated,0.04,0.4,,,39RVK,2/28/2009,0,0,0,0,0
169,Sea Island,Estimated,0.002,0.02,,,39RVK,3/6/2009,0,0,0,0,0
177,Sea Island,Estimated,0.5,5,,,39RVK,4/6/2009,0,0,0,0,0
229,Sea Island,Estimated,0.03,0.3,,,39RVK,5/14/2009,0,0,0,0,0
249,Sea Island,Estimated,0.03,0.3,,,39RVK,5/29/2009,0,0,0,0,0
263,Sea Island,Estimated,5.93,59.3,,,39RVK,2/25/2015,0,0,0,0,0
321,Sea Island,Estimated,2.782,27.82,,,39RVK,5/7/2015,0,0,0,0,0
11,Sea Island,Estimated,34.775,347.75,,,39RVK,2/22/2016,0,0,0,0,0
48,Sea Island,Estimated,0.166,1.66,,,39RVK,5/9/2016,0,0,0,0,0
154,Sea Island,Estimated,0.148,1.48,,,39RVK,12/16/2016,0,0,0,0,0
165,Sea Island,Estimated,0.011,0.11,,,39RVK,1/19/2017,0,0,0,0,0
216,Yanbu,Estimated,0.013,0.13,,,37QCG,3/21/2009,0,0,0,0,0
232,Yanbu,Estimated,12,120,,,37QCG,10/5/2009,0,0,0,0,0
283,Yanbu,Estimated,0.01,0.1,,,37QCG,3/5/2011,0,0,0,0,0
13,Yanbu,Estimated,0.313,3.13,,,37QCG,3/27/2012,0,0,0,0,0
25,Yanbu,Estimated,0.001,0.01,,,37QCG,1/16/2014,0,0,0,0,0
27,Yanbu,Estimated,0.73,7.3,,,37QCG,2/21/2014,0,0,0,0,0
31,Yanbu,Estimated,0.001,0.01,,,37QCG,6/20/2015,0,0,0,0,0
35,Yanbu,Estimated,0.01,0.1,,,37QCG,11/14/2015,0,0,0,0,0
37,Zuluf,Estimated,0.08,0.8,,,39RUM,1/28/2009,0,0,0,0,0
38,Zuluf,Estimated,0.06,0.6,,,39RUM,3/13/2009,0,0,0,0,0
56,Zuluf,Estimated,0.45,4.5,,,39RUM,3/14/2009,0,0,0,0,0
67,Zuluf,Estimated,0.2,2,,,39RUM,6/2/2009,0,0,0,0,0
68,Zuluf,Estimated,0.059,0.59,,,39RUM,7/17/2009,0,0,0,0,0
73,Zuluf,Estimated,15.27,152.7,,,39RUM,8/3/2009,0,0,0,0,0
80,Zuluf,Estimated,0,0,,,39RUM,10/11/2009,0,0,0,0,0
125,Zuluf,Estimated,1.73,17.3,,,39RUM,1/10/2010,0,0,0,0,0
128,Zuluf,Estimated,0.32,3.2,,,39RUM,4/4/2010,0,0,0,0,0
135,Zuluf,Estimated,0.274,2.74,,,39RUM,8/9/2010,0,0,0,0,0
164,Zuluf,Estimated,0.465,4.65,,,39RUM,10/21/2010,0,0,0,0,0
168,Zuluf,Estimated,0.104,1.04,,,39RUM,11/8/2010,0,0,0,0,0
170,Zuluf,Estimated,0.026,0.26,,,39RUM,1/1/2011,0,0,0,0,0
198,Zuluf,Estimated,4.65,46.5,,,39RUM,1/19/2011,0,0,0,0,0
244,Zuluf,Estimated,0.25,2.5,,,39RUM,3/2/2011,0,0,0,0,0
264,Zuluf,Estimated,0.003,0.03,,,39RUM,3/9/2011,0,0,0,0,0
288,Zuluf,Estimated,0.01,0.1,,,39RUM,4/9/2011,0,0,0,0,0
289,Zuluf,Estimated,1.75,17.5,,,39RUM,5/31/2011,0,0,0,0,0
293,Zuluf,Estimated,0.818,8.18,,,39RUM,6/25/2011,0,0,0,0,0
327,Zuluf,Estimated,0.49,4.9,,,39RUM,7/20/2011,0,0,0,0,0
15,Zuluf,Estimated,0.006,0.06,,,39RUM,7/26/2011,0,0,0,0,0
49,Zuluf,Estimated,0.001,0.01,,,39RUM,8/5/2011,0,0,0,0,0
54,Zuluf,Estimated,0.029,0.29,,,39RUM,8/8/2011,0,0,0,0,0
59,Zuluf,Estimated,0.08,0.8,,,39RUM,8/25/2011,0,0,0,0,0
60,Zuluf,Estimated,0.071,0.71,,,39RUM,9/26/2011,0,0,0,0,0
70,Zuluf,Estimated,0.016,0.16,,,39RUM,4/8/2012,0,0,0,0,0
71,Zuluf,Estimated,0.11,1.1,,,39RUM,9/2/2012,0,0,0,0,0
72,Zuluf,Estimated,0.3,3,,,39RUM,11/3/2012,0,0,0,0,0
104,Zuluf,Estimated,2.47,24.7,,,39RUM,12/29/2012,0,0,0,0,0
118,Zuluf,Estimated,5,50,,,39RUM,4/12/2013,0,0,0,0,0
150,Zuluf,Estimated,9.1,91,,,39RUM,1/16/2014,0,0,0,0,0
155,Zuluf,Estimated,5.262,52.62,,,39RUM,8/1/2014,0,0,0,0,0
160,Zuluf,Estimated,8.215,82.15,,,39RUM,3/4/2015,0,0,0,0,0
192,Zuluf,Estimated,8.587,85.87,,,39RUM,12/4/2015,0,0,0,0,0
220,Zuluf,Estimated,0.303,3.03,,,39RUM,7/10/2016,0,0,0,0,0
245,Zuluf,Estimated,4.458,44.58,,,39RUM,4/2/2017,0,0,0,0,0
